Country,Name,url
Colombia,Falcao,/player/167397/falcao/
France,Karim Benzema,/player/165153/karim-benzema/
Spain,Cesc Fàbregas,/player/162895/cesc-f%C3%A0bregas/
France,Franck Ribéry,/player/156616/franck-rib%C3%A9ry/
Belgium,Vincent Kompany,/player/139720/vincent-kompany/
Brazil,Fernandinho,/player/135507/fernandinho/
Portugal,Pepe,/player/120533/pepe/
France,Kylian Mbappé,/player/231747/kylian-mbapp%C3%A9/
Ivory Coast,Eric Bailly,/player/225508/eric-bailly/
Spain,Marco Asensio,/player/220834/marco-asensio/
Portugal,Bernardo Silva,/player/218667/bernardo-silva/
France,Nabil Fekir,/player/216594/nabil-fekir/
Brazil,Alisson,/player/212831/alisson/
Germany,Joshua Kimmich,/player/212622/joshua-kimmich/
Germany,Niklas Süle,/player/212190/niklas-s%C3%BCle/
England,Dele Alli,/player/211117/dele-alli/
Brazil,Fabinho,/player/209499/fabinho/
Senegal,Sadio Mané,/player/208722/sadio-man%C3%A9/
Spain,Saúl,/player/208421/sa%C3%BAl/
Brazil,Marquinhos,/player/207865/marquinhos/
France,Samuel Umtiti,/player/205600/samuel-umtiti/
Spain,Carvajal,/player/204963/carvajal/
Algeria,Riyad Mahrez,/player/204485/riyad-mahrez/
Netherlands,Virgil van Dijk,/player/203376/virgil-van-dijk/
Germany,Julian Draxler,/player/202166/julian-draxler/
Spain,Morata,/player/201153/morata/
Germany,Timo Horn,/player/200316/timo-horn/
Korea Republic,Heung Min Son,/player/200104/heung-min-son/
Portugal,Anthony Lopes,/player/199482/anthony-lopes/
Netherlands,Stefan de Vrij,/player/198176/stefan-de-vrij/
Italy,Mattia Perin,/player/198009/mattia-perin/
France,Alexandre Lacazette,/player/193301/alexandre-lacazette/
Armenia,Henrikh Mkhitaryan,/player/192883/henrikh-mkhitaryan/
Spain,Iago Aspas,/player/192629/iago-aspas/
Croatia,Danijel Subašić,/player/192593/danijel-suba%C5%A1i%C4%87/
Poland,Kamil Glik,/player/190547/kamil-glik/
Brazil,Douglas Costa,/player/190483/douglas-costa/
Spain,Parejo,/player/189513/parejo/
England,Kyle Walker,/player/188377/kyle-walker/
Poland,Wojciech Szczęsny,/player/186153/wojciech-szcz%C4%99sny/
Algeria,Yacine Brahimi,/player/184267/yacine-brahimi/
Argentina,Ángel Di María,/player/183898/%C3%A1ngel-di-mar%C3%ADa/
Brazil,Willian,/player/180403/willian/
Brazil,David Luiz,/player/179944/david-luiz/
